Reported m/z,Reported ion,Monoisotopic Mass (Da),Molecular Formula,Reported compound name,Genus,Endnote Reference,ref
271,[M+Na]+,248.14124,C15H20O3 ,Methyl Montiporate C,Montipora,"{Alam, 2002 #6322}","(N. Alam et al., 2002)"
,,248.141251,C15H20O3,"11-dodecene-2,4-diynyl methoxyacetate ",Montipora,"{Higa, 1990 #6320}","(Higa et al., 1990)"
271,[M+Na]+,248.17763,C16H24O2 ,Dihomomontiporyne H,Montipora,"{Alam, 2002 #6322}","(N. Alam et al., 2002)"
273,[M+Na]+,250.1569,C15H22O3,Methyl montiporate A ,Montipora,"{Alam, 2001 #6321}","(N. Alam, Bae, et al., 2001)"
,,254.11676,C14H14N4O,Aplysinopsin,Astroides calycularis ,"{Cachet, 2013 #6337}","(Cachet, Loffredo, Vicente, & Thomas, 2013)"
253,[M+H]+,254.224579,C16H30O2,Palmitoleic Acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
,,255.100784,C14H13N3O2,3'-deimino-3'-oxoaplysinopsin ,Tubastraea,"{Guella, 1998 #6340}","(Guella, Mancini, Zibrowius, & Pietra, 1988)"
279,[M+Na]+,256.1085,C14H17NaO3,Montiporic acid C ,Montipora,"{Alam, 2001 #6321}","(N. Alam, Bae, et al., 2001)"
256,[M+],256.1827,C18H24O,Montiporyne F,Montipora,"{Bae, 2000 #6323}","(Bae et al., 2000)"
255,[M+H]+,256.240234,C16H32O2,Palmitic Acid ,Aiptasia/Symbiodinium ,"{Dunn, 2012 #6194}","(Dunn et al., 2012)"
280,[M+Na]+,257.178,C17H23NO,Montiporyne E ,Montipora,"{Bae, 2000 #6323}","(Bae et al., 2000)"
258,[M+H]+,257.178,C17H23NO,Montiporyne E ,Montipora,"{Bae, 2000 #6323}","(Bae et al., 2000)"
283,[M+Na]+,260.1776,C17H24O2,Montiporyne K,Montipora,"{Alam, 2001 #6321}","(N. Alam, Bae, et al., 2001)"
261.15,[M-H]-,262.1569,C16H22O3,Montiporic acid B,Montipora,"{Fusetani, 1996 #6324}","(Fusetani et al., 1996)"
,,264.172546,C16H24O3,"2,4-tridecadiynyl methoxyacetate",Montipora,"{Higa, 1990 #6320}","(Higa et al., 1990)"
