Reported m/z,Reported ion,Monoisotopic Mass (Da),Molecular Formula,Reported compound name,Genus,Endnote Reference,ref
,,835.6091,C48H86NO8P,PC(40:5),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,833.5935,C55H98O6,TG(52:5),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,831.5779,C55H100O6,TG(52:4),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,829.5623,C55H102O6,TG(52:3),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,827.5467,C55H104O6,TG(52:1),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,862.7989,C55H106O6,TG(52:0),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
871,,870.565918,C55H74N4O5,Phaeophytinæa,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
,,874.705,C57H94O6,TG(54:8),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
879.4434,[M+H]+,878.4313,C46H62N4O13,Mycalolide E,Tubastrea faulkneri,"{Rashid, 1995 #6335}","(Rashid, Gustafson, Cardeilina, & Boyd, 1995)"
,,878.7363,C57H98O6,TG(54:6),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,888.8146,C57H108O6,TG(54:1),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
871,,892.535339,C55H72MgN4O5,Chlorophyllæa,Symbiodinium,"{Venn, 2006 #6285}","(Venn et al., 2006)"
,,906.7676,C59H102O6,TG(56:6),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,910.7989,C59H106O6,TG(56:4),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
,,934.7989,C61H106O6,TG(58:6),Pocillopora ,"{Sogin, 2016 #6262}","(Sogin et al., 2016)"
1001.498,[M+H]+,1000.4892,C50H72N4O17,Mycalolide D,Tubastrea faulkneri,"{Rashid, 1995 #6335}","(Rashid et al., 1995)"
999,[M-H]-,1000.4892,C50H72N4O17,Mycalolide D,Tubastrea faulkneri,"{Rashid, 1995 #6335}","(Rashid et al., 1995)"
547.8,,1049.555908,C54H83NO19,Zooxanthellamide D ,Symbiodinium,"{Fukatsu, 2007 #6293}","(Fukatsu et al., 2007)"
1072.6,,1049.555908,C54H83NO19,Zooxanthellamide D ,Symbiodinium,"{Fukatsu, 2007 #6293}","(Fukatsu et al., 2007)"
1229.8996,[M+Na]+,1206.9096,C70H126O15,Symbiospirol A,Symbiodinium,"{Tsunematsu, 2009 #6311}","(Tsunematsu et al., 2009)"
1229.9029,[M+Na]+,1206.9096,C70H126O15,Symbiospirol B,Symbiodinium,"{Tsunematsu, 2009 #6311}","(Tsunematsu et al., 2009)"
1229.8985,[M+Na]+,1206.9096,C70H126O15,Symbiospirol C,Symbiodinium,"{Tsunematsu, 2009 #6311}","(Tsunematsu et al., 2009)"
2151.3296,[M+Na]+,2127.356201,C110H198O38,Durinskiol A,Durinskia,"{Kita, 2007 #6315}","(Kita, Roy, et al., 2007)"
1086.663,[M+2Na]2+,2127.356201,C110H198O38,Durinskiol A,Durinskia,"{Kita, 2007 #6315}","(Kita, Roy, et al., 2007)"
,,2127.356201,C110H198O38,Durinskiol B,Durinskia,"{Siwu, 2008 #6316}","(Siwu, Ohno, Kita, & Uemura, 2008)"
1347.6949,[M-2H]2-,2697.4022,C128H220N2O53S2,Zooxanthellamide B,Symbiodinium,"{Onodera, 2004 #817}","(Onodera, Nakamura, Oba, & Ojika, 2004)"
1347.72,[M-2H]2-,2697.4022,C128H220N2O53S2,Zooxanthellamide C,Symbiodinium,"{Onodera, 2005 #6310}","(Onodera, Nakamura, Oba, Ohizumi, & Ojika, 2005)"
898.14,[M-3H]3-,2697.4022,C128H220N2O53S2,Zooxanthellamide C,Symbiodinium,"{Onodera, 2005 #6310}","(Onodera et al., 2005)"
1356.72,[M-2H]2-,2715.4127,C128H222N2O54S2,Zooxanthellamide A,Symbiodinium,"{Onodera, 2003 #821}","(Onodera, Nakamura, Oba, & Ojika, 2003)"
904.14,[M-3H]3-,2715.4127,C128H222N2O54S2,Zooxanthellamide A,Symbiodinium,"{Onodera, 2003 #821}","(Onodera et al., 2003)"
2829.9,[M-Na]-,2852.47998,C138H230NNaO56S,Zooxanthellatoxin-B,Symbiodinium,"{Nakamura, 1995 #6314}","(Nakamura, Asari, Fujimaki, et al., 1995)"
1452.2,[M+2Na]2+,2858.490479,C137H232NNaO57S,Symbiodinolide,Symbiodinium,"{Kita, 2007 #6307}","(Kita, Ohishi, et al., 2007)"
975.8,[M+3Na]3+,2858.490479,C137H232NNaO57S,Symbiodinolide,Symbiodinium,"{Kita, 2007 #6307}","(Kita, Ohishi, et al., 2007)"
2872,[M-Na]-,2894.4903,C140H232NNaO57S,Zooxanthellatoxin A,Symbiodinium,"{Nakamura, 1995 #5836}","(Nakamura, Asari, Murai, et al., 1995)"
730 - 850 a,,,,Alkyl-phosphatidylcholine ,Aiptasia,"{Garret, 2013 #6193}","(Garrett et al., 2013)"
303,[M+H]+,,,Mycosporine-methylamine-threonine ,Pocillopora ,"{Carignan, 2009 #6297}","(Carignan et al., 2009)"
329,[M+H]+,,,Palythinic acid,Diatoms,"{Ingalls, 2010 #6301}","(Ingalls, Whitehead, & Bridoux, 2010)"
610 - 675,,,,Phosphonosphingolipid ,Aiptasia,"{Garret, 2013 #6193}","(Garrett et al., 2013)"
720 - 795,,,,Plasmalogen phosphatidylethanolamine ,Aiptasia,"{Garret, 2013 #6193}","(Garrett et al., 2013)"
