"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","X1000.Day.1.Control","X1000.Day.1.Heated","X1000.Day.14.Control","X1000.Day.14.Heated","X1000.Day.4.Control","X1000.Day.4.Heated","X1000.Day.6.Control","X1000.Day.6.Heated","X380.Day.1.Control","X380.Day.1.Heated","X380.Day.14.Control","X380.Day.14.Heated","X380.Day.4.Control","X380.Day.4.Heated","X380.Day.6.Control","X380.Day.6.Heated","PBQC.Day.0.Treat","X1000.0902.CL001","X1000.0902.CL002","X1000.0902.CL003","X1000.0902.CR001","X1000.0902.CR002","X1000.0902.CR003","X1000.0902.HL001","X1000.0902.HL002","X1000.0902.HL003","X1000.0902.HR001","X1000.0902.HR002","X1000.0902.HR003","X1000.d14.CL001","X1000.d14.CL002","X1000.d14.CL003","X1000.d14.CR001","X1000.d14.CR003","X1000.d14.HL001","X1000.d14.HL002","X1000.d14.HR001","X1000.d14.HR002","X1000.d14.HR003","X1000.1202.CL001","X1000.1202.CL002","X1000.1202.CL003","X1000.1202.CR001","X1000.1202.CR002","X1000.1202.CR003","X1000.1202.HL001","X1000.1202.HL002","X1000.1202.HL003","X1000.1202.HR001","X1000.1202.HR002","X1000.1202.HR003","X1000.1402.CL001","X1000.1402.CL002","X1000.1402.CL003","X1000.1402.CR001","X1000.1402.CR002","X1000.1402.CR003","X1000.1402.HL001","X1000.1402.HL002","X1000.1402.HL003","X1000.1402.HR001","X1000.1402.HR002","X1000.1402.HR003","X380.0902.CL001","X380.0902.CL002","X380.0902.CL003","X380.0902.CR001","X380.0902.CR002","X380.0902.CR003","X380.0902.HL001","X380.0902.HL002","X380.0902.HL003","X380.0902.HR001","X380.0902.HR002","X380.0902.HR003","X380.d14.CL001","X380.d14.CL002","X380.d14.CL003","X380.d14.CR001","X380.d14.CR002","X380.d14.CR003","X380.d14.HL001","X380.d14.HL002","X380.d14.HL003","X380.d14.HR001","X380.d14.HR002","X380.d14.HR003","X380.1202.CL001","X380.1202.CL002","X380.1202.CL003","X380.1202.CR001","X380.1202.CR002","X380.1202.CR003","X380.1202.HL001","X380.1202.HL002","X380.1202.HL003","X380.1402.CL001","X380.1402.CL002","X380.1402.CL003","X380.1402.CR001","X380.1402.CR002","X380.1402.CR003","X380.1402.HL001","X380.1402.HL002","X380.1402.HL003","X380.1402.HR001","X380.1402.HR002","X380.1402.HR003","PBQC1","PBQC10","PBQC2","PBQC3","PBQC4","PBQC5","PBQC6","PBQC7","PBQC8","PBQC9","isotopes","adduct","pcgroup"
"2179",1035.6408650788,1035.63217452182,1035.64755784127,608.4855,606.572,610.458,96,6,6,5,5,6,6,6,5,6,6,5,5,5,2,6,6,10,633561.085610161,521290.483252343,452661.584295838,196070.770323828,440238.957390289,184655.64246368,136617.733823522,297282.088278197,418000.163976516,150278.859259067,379126.807123956,212298.702980319,210279.520977599,290970.818369989,244634.514569884,130928.334108975,219722.825660156,112255.392796265,291400.128597484,382986.703420855,683820.446685918,60637.1203087411,223864.632999524,465018.446021272,585572.620737263,241654.973027812,237998.701044649,144662.523705637,211449.40250474,509101.883031167,152305.325854493,64124.6632021636,265227.604896191,215270.589476056,213537.025551191,328759.977098749,219679.993357782,125216.553115478,356796.115601693,258454.676492522,809211.210662677,305208.302610483,327062.626105675,427985.545352134,504425.752469568,143690.17067281,200863.050612658,322222.233944218,465022.328604061,607062.624479038,255370.825175752,354477.09011888,230372.591821539,162402.314572265,338888.835732655,96016.4983565974,170284.334026623,275883.288194423,211781.578885939,182284.148573702,60802.0252389523,110454.937708369,129113.567002381,128774.636004521,258474.395230834,177033.002032367,37162.3603057396,477312.452464314,668479.454134134,285944.256941893,326865.61790966,367487.229577034,361327.15768488,510854.103659514,460418.668055525,549212.824358349,453421.15740828,296198.767506196,272897.056900844,199753.20799727,288661.747904045,330843.151559523,237854.142829572,272180.905619595,174056.778357269,557671.01834592,479730.926194999,481076.049034921,265577.050386244,540515.171422512,221135.526810925,437395.009588057,216539.839981105,372207.375363072,350155.474436382,340225.770527662,360165.503914794,277497.358944931,267763.045929394,246359.070987543,233475.722425995,"[414][M]+","","289"
"2180",1036.64320021031,1036.63310367826,1036.65007010677,608.492,606.572,610.458,94,6,6,5,3,6,6,6,5,6,6,5,5,5,2,6,6,10,383803.754201052,312605.233266416,268412.956697845,117441.003062436,266590.965455149,113320.935808683,86198.107266419,178883.716313699,251195.254447373,90400.8398860206,228069.277584472,129276.431651877,126560.212026856,171118.779484234,147089.120061767,80484.6620122991,131116.438912568,66630.4387261357,176200.079904717,228646.903006824,401986.356421,38093.5714902213,135954.599196079,277065.180806024,349540.716075373,146722.648787342,143183.034623385,90723.118954102,126389.476741909,306847.269886728,92168.5714092413,40184.1474907261,159744.685846324,130542.773438372,129576.110766463,198239.631133361,133329.409349568,76072.1482755123,215437.147340781,154900.586300964,485666.412000175,181155.704966488,193889.067456759,256846.86859414,302072.02053205,89664.1370640865,120610.818520234,194962.446296513,278757.847382903,361531.645093924,150195.815202856,209775.307410432,140684.246490945,97565.0985301333,207958.997655781,61984.9935260501,102763.26421814,168519.786882612,129586.397088537,111744.896285156,38766.2943640607,68821.8361723,77808.2650588689,77519.4547909739,152852.380808105,105593.626242736,20355.7239353718,282679.149216249,393693.246660707,170539.374645786,198609.085195612,219207.40200102,221028.236576562,299427.265026864,274834.973991517,329283.910327742,269651.706408629,176996.990928566,163754.002730608,120732.265221741,174383.356355725,194425.005088726,145625.486424415,161793.754608131,105274.311361606,332085.785636626,286658.632986539,285436.981230867,161643.266312722,318085.761913595,133421.691005441,255913.307894543,129810.442786955,222754.382265797,207285.601572584,202181.531699087,213805.110029867,165410.623327566,156407.987156372,145788.579005459,139125.667643972,"[414][M+1]+","","290"
"2181",1037.64529891885,1037.64103898697,1037.65180659545,608.495,606.572,610.384,69,4,4,3,2,5,4,4,4,3,3,3,3,5,2,6,6,8,129173.585792935,108048.36028899,94172.9105384474,48524.6196453457,93904.1750332082,38779.4410830344,31705.2000844056,64936.8696522979,87710.8708616504,34401.0629715407,79578.1136820108,48512.5596431058,44111.4605252051,59058.9398079831,52819.8321302793,27662.0990881954,48897.8159384838,23398.0266352708,61525.8505597797,84390.8848374442,145305.498998962,12622.7030158562,49402.8658430885,94988.0240524525,121084.999880005,52944.5597073456,49332.5081071312,32398.0651403248,46333.8540141605,111078.732490528,32851.3670095675,12977.7231124832,61772.4031761736,47819.8519936987,46751.6693997088,70056.6266945894,48611.1115341796,28185.0052087261,74046.6056747283,56519.1774206542,184139.526778651,64587.4092247924,67566.1455406776,89716.2851316891,107595.219601058,31190.0340057138,45520.737127715,66660.4453535153,96789.1464144665,126280.961808747,54037.8993659113,75055.8417505584,49846.4209000651,36952.4035603939,78603.7711256996,21649.2280404823,38551.7668120257,60248.3004912413,46954.8717613712,41804.6728734175,13535.0593992075,27001.0410485838,28678.7201820429,27029.1254801796,57850.8775850494,38175.5066929414,5607.23213743246,104064.424468359,140043.561675211,60565.9506237945,66696.43791171,77580.5029762962,78799.2575279511,106670.780378489,97167.410680908,115712.469187867,94470.8950529626,64255.9648518413,58195.3397955304,47348.5948200758,61152.2458068598,70872.4857760879,50573.6151050051,56210.7210262044,37410.6871238467,120276.101600428,98894.3420930173,99905.7700062561,59362.081234055,111502.374062622,50601.6411729913,85846.613009586,46190.2991277719,78752.5267905975,74042.7554870876,69960.1352589426,74093.5173055243,56703.5842713863,54979.1115065018,53136.8649994835,48536.1684762233,"[414][M+2]+","","291"
"2182",1039.635839609,1039.62907222965,1039.64707037167,720.377,715.465,721.727,87,3,5,5,4,6,4,6,3,6,6,5,6,4,3,6,6,9,141267.784232165,123756.212839585,111222.735630188,65736.6627674016,53032.8668859776,139337.801093461,93107.5846523099,105923.544863586,130031.456642453,80319.0209010757,136042.193717827,63868.3518192184,146868.951409472,120503.011545822,127669.359433492,159912.478051217,134417.096573471,202163.98196865,209562.830729409,143764.061796138,188489.079820029,94977.4045404916,108295.318596369,143204.017187873,91969.4932404398,82122.632016455,89699.2863493347,148312.795601838,106590.234532909,27755.8099863006,82232.8545479686,79333.1841530151,57496.6449735621,50995.1605574131,96604.5152266357,86398.8766758292,80707.2947770726,102643.902471481,121944.72959141,127757.912465851,72641.7902987255,142530.691653621,113184.131727662,89883.3717668539,110173.884700292,102063.773473566,109555.038284463,100767.625829407,168778.454869766,137394.319460743,98919.2077723151,58217.5968964788,68796.9084176798,66513.0531745175,45455.9705551995,123084.61282364,71851.4519550225,77318.126463769,86617.1654498907,82654.4082719727,1763.24284946217,68711.3548625171,99333.1722248438,70069.4082438659,172019.547127368,125730.694424683,190764.950565486,148454.642732876,158763.359466778,192863.30459425,86457.6238818357,106725.762185306,89895.0443592603,166453.844431976,96363.3846533425,98826.5771516114,119711.642329972,77105.0321874387,105208.059610522,111487.860535134,63845.3327857683,76800.3814531788,123482.993920909,71310.2704022067,123470.923359073,137061.643517127,55456.1697608481,129868.547753387,113119.418360704,96614.9552389402,125887.012445746,161673.941739376,207651.132192408,130749.986166884,149611.656122148,158436.951995054,175924.786547469,152216.155953483,151506.592061455,176581.749752275,154357.382358948,"[415][M]+","","7"
"2183",1040.63952922393,1040.63235354157,1040.64996982944,720.3645,713.412,721.666,72,4,5,5,1,6,4,3,2,6,2,5,6,2,1,4,6,10,81933.1915253259,70925.8837249998,60648.3570586852,39783.5905901428,63665.3132196763,81271.8708855912,56188.9773145866,60964.430038674,75624.6245895934,46218.7544786535,76427.0685093076,36184.6689176565,75551.1969421531,71137.1311815338,76569.6648313903,89955.977521136,73815.2937112126,116810.112224011,124267.892268719,86660.8782161321,110147.869912287,52387.1171150592,63687.6607805679,81939.9469984644,53608.1872150585,47801.6406952223,50078.7769160907,89084.8317194154,60631.3744902379,10767.0722575784,47689.8550083623,43506.8651602704,34855.6395314483,29749.880514009,55791.3819960558,50745.156886592,43538.9273418598,60155.9587026743,67259.4826460143,79712.3233934641,24702.6253577723,80320.5388698168,67400.1244740127,50997.5149575783,61029.9830163019,55868.3300586122,64983.0500344127,59420.0504653929,96388.5625756976,73012.2411132047,58843.6776278996,35238.2290582885,39812.3434736717,35864.1143160681,22247.5986412562,72150.3737408089,37807.1267457002,44893.9927868319,48640.5576450581,42213.7760348386,0,39406.4571426809,59152.7799681168,41033.2118367956,102997.19498693,73609.5921243777,109948.836627229,79696.3218194276,93973.4514702911,111788.446059163,51750.5834010182,60866.4859868926,51837.207565197,98399.0645231017,54096.5285975434,58351.4910646586,68919.1373317308,45524.6754333195,60354.4342955008,63853.8193997758,38839.3692200635,43953.211163651,71729.0143692321,40865.1676624906,72269.3544739264,80510.900402771,32727.0462954711,73509.4545989954,68478.9330682687,58027.5371536629,73442.567144989,86143.7135754272,119643.136148002,85444.8569665528,85553.5325562404,92887.4682939809,99074.8828447414,84224.1928987893,87970.4630181971,101508.810758698,89652.97375698,"[415][M+1]+","","7"
"2184",1041.64403643876,1041.64096893348,1041.65584556218,719.822,716.923,720.652,8,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,1,27272.274033092,26011.3125440843,22054.2381920855,14935.9110110964,23068.3947215229,28382.9091928905,19928.3607185086,21694.8762354366,26669.1566752493,16703.1404380734,25143.4403867729,12229.1389735751,26829.6821152493,24298.7864364088,26953.3965201616,30568.900029423,25616.4283244833,38957.8562642783,36074.3269834895,23700.61619397,40081.4494758688,13665.6476276138,20704.2885254451,29376.6661052823,18220.0437149846,17536.9882169645,16891.6454004929,30201.440709218,22073.5938689602,12802.479614203,17777.3056011617,15089.8037190061,13204.8574557347,9557.61799502102,19431.7337158769,17881.3114968471,15101.2951418378,18598.5813600346,22627.5930421529,27878.3601488471,34488.4337811971,27821.6009689041,23930.4448555667,18400.0503597205,23408.1870286614,21419.7819838183,23834.1375875473,20589.5922355503,33383.6288245141,23493.2220832351,19226.8415087284,12198.2551390266,15070.0064592837,11114.2049434781,7814.82236072336,23678.7542819026,15109.0407556309,14875.7409835032,17762.7920840095,14627.3491630097,0,13419.3385228515,21304.7695062637,14780.3168224437,31678.9346985504,26268.8994211586,34947.7735269469,25680.8617491631,31419.9507566616,35427.7611483909,16019.0133604205,21433.5950864092,20494.5907815929,38673.4241220277,20300.7610163667,21963.5521981326,24514.7533889487,14660.2175116889,21443.7521336507,26683.5540213564,14167.4907139062,19356.2709251605,26145.6853377581,14557.5635124168,24643.6506523624,27635.5713314822,9568.91562700981,26529.320924372,23269.1724658508,20892.6958622709,24758.599866469,30089.7788696933,37587.9804610312,25917.8990798394,28608.988167572,29853.9683874696,31873.5177229816,29257.7595229124,28705.619479084,32442.5543436892,29009.0169351194,"[415][M+2]+","","7"
"2185",1042.58703671339,1042.58584272935,1042.58923931807,528.6035,528.107,529.103,16,0,1,2,2,0,2,1,1,0,1,0,0,4,1,0,0,1,14955.2487898394,10431.3664595846,11771.0605122572,41255.8109880411,3470.8636894729,13849.0408380251,73143.67648446,1630.89773389227,35996.7928531408,20653.7118006968,4640.29332863853,23946.6365999297,35279.8887646794,28705.3546547724,40247.3834536791,16769.7116518021,45908.7515193254,27473.8723180443,0,3562.1858258663,8083.40388649388,16644.4583337636,9627.94200533472,15664.7154614627,57685.349529086,24160.5568055995,9972.88282652552,39269.3038277403,33410.0954777034,24956.169913888,40864.1320112913,68501.6477903663,71630.4166251346,64772.3534041134,19966.9549881173,51878.0752549469,51879.4262092631,54262.3367188765,110676.158963739,19672.2609831565,20869.4807011356,15899.6756380577,12646.5226835307,28943.3101725206,41019.3119153414,11200.1661320463,34072.3231779168,70465.4893791443,62880.805651385,36988.2241263965,26536.936565925,20976.8842092878,9350.5890085705,24342.3963176558,10553.4699954763,7063.88224226472,4225.08577574437,51807.1482709453,47797.6034730798,25917.3211090065,64277.0811474856,81834.9363886657,20734.6940825268,10199.8951536775,0,0,2970.47496296858,12860.4311287991,5075.16562820187,0,20682.4566952139,14257.4233980116,127731.743109638,106369.994777762,11395.7688432813,20057.0480374284,17356.4440638721,8909.88724254221,49727.4700208438,27742.8692427795,42650.9453307759,9067.84726964486,34456.3197545201,34343.58987969,6976.90510839694,5796.90696315859,11734.6337364485,7343.04699128866,6933.08142599542,11796.5738291174,44086.7261251615,38817.9744730607,17737.1815094009,36438.979330821,32876.8065986484,35358.4961487457,37181.215302429,30015.5461881027,27357.9498449791,26758.4736436024,26488.600738036,"","","17"
"2186",1043.69146486701,1043.67083938776,1043.70187240147,652.0715,647.655,653.156,30,0,3,2,0,0,3,2,1,2,1,3,4,2,2,4,1,0,383611.671534456,159165.698495728,142153.144000501,131613.773514232,134746.139717613,72516.2106096045,77902.032261669,119752.612343781,194021.449772822,86252.8461207189,145750.362633381,100028.333382352,109149.696278892,153872.645200809,136169.972175007,80194.8503013317,147669.358531721,70623.5850385379,149320.005985564,207273.939360448,323815.454762054,19486.5711635711,108775.703571685,153066.310227362,257877.96297635,134930.135732007,97991.8511033175,75883.818210249,169496.077331352,330659.049398315,118290.780818763,69208.7901015815,177289.503488708,154939.933190325,106209.82437696,127843.437873143,156344.103793982,82470.311722212,221181.528971934,145875.625880923,445768.769486646,185158.918306716,149029.395637461,222636.171253868,317897.911299766,79983.9637231586,122627.630013428,107154.117480344,122324.331952492,247788.689073114,142696.023063825,103682.473938784,134679.335157377,109173.01434593,140851.437020619,65388.8631962761,107615.991412363,103909.616666161,105620.388402932,106531.558913289,4761.19272522628,62263.0346791253,62233.1542407108,69705.1542143294,144500.893817032,98253.5556298597,17695.9289267738,250819.090448533,249980.620023285,110631.80656941,151590.308266819,150984.567506561,154227.844009722,190018.623796539,162146.403810916,183638.543016441,280418.507735171,163174.339786979,176215.537858307,121419.295107396,112951.986609675,158717.058930199,123063.858906442,106092.560365821,83892.9887177628,264904.132394489,175088.880072457,214404.695095208,181802.624783888,215817.171654646,161513.511707563,233802.277673316,122765.016372326,197364.859585752,198537.307982137,177966.35553385,212455.647229183,165730.843251504,168093.075882776,143747.766031438,122048.507750583,"[416][M]+","","603"
"2187",1044.6692631407,1044.66515530882,1044.67772409772,751.0195,727.183,758.929,64,4,5,2,2,3,4,4,3,5,5,3,5,3,2,3,4,7,57300.3880168457,32492.0271766795,114224.338783,0,0,21476.4373160553,20479.7625950001,36948.9289397084,63556.753828363,0,98293.3999904163,85168.3385515975,85199.1106674905,0,0,32570.2631234131,0,0,57082.8663459035,129043.397299678,43321.3830164795,0,0,0,110554.040007906,0,39341.4821187439,26990.3434458807,0,119476.691527068,57583.5136636639,0,51147.6246326623,5756.8781092912,18576.7445637512,30878.977184161,52965.8693382628,11963.5200957686,22592.6054707207,14293.555472635,0,0,59172.5278202167,37481.9192431393,0,23323.7615612373,114556.363564853,46458.5045699987,25089.1168999683,68446.6590871484,21898.3302048903,0,61618.5485142518,61888.540405991,148004.220729721,0,37907.586447052,43272.3831860978,0,0,50169.2442163333,0,25001.6195952338,0,43464.0562234689,47576.6865953303,22756.7924752739,0,22888.0938977193,39075.9343562382,40076.930488678,25350.400925049,45502.6559587402,0,27225.2319817017,0,31162.0965459664,0,36809.2786424657,53940.4248978574,48057.4752205907,0,32689.6681429138,0,0,20076.1391221875,43861.0842536367,0,22608.3857549777,67093.6909641404,0,0,22418.1305713389,64224.6275761109,65105.4045589189,46302.2566724259,3791.33160523898,62650.3619501202,58941.9844973342,9361.37553742867,54916.4332632212,"[417][M]+","","23"
"2188",1044.6971460031,1044.68638737885,1044.70292256308,653.019,651.947,654.535,23,0,0,2,0,1,2,0,2,0,0,1,2,1,3,3,3,3,165941.220822352,55586.4451594375,53947.8637491254,63833.2369513756,55463.9450704928,27925.2586491619,28946.2536956826,54266.6302693308,68956.4750294148,29440.2684856206,53568.9787127341,35908.6491717886,65629.3089041815,72267.1563464547,58894.5819536272,33588.6147682772,70782.1192490215,35744.6104440306,70876.2913009024,98632.2364128966,154198.803889953,8958.2741500652,41650.1258526747,57333.9405229315,96558.0449413838,49238.3181372488,30411.8419491274,28854.9291591671,74945.998701348,167652.587452836,44850.3636648249,32395.0052987127,64575.3910537981,59862.078767285,45430.3087304637,46667.6789100107,53458.9365124811,29672.8602443939,82296.0063089936,66576.6635681798,193473.252085373,85835.1329119378,70758.748615589,87488.6943143662,140737.060264936,33300.3420354316,52379.2390881215,40492.7786263558,48342.8997023553,107653.848438213,56790.2088884102,39322.8348586546,44236.8573556109,40451.1974014386,80104.5650261566,26577.0123306848,39272.3727527147,37663.0144581488,43638.6493429968,39918.8870084512,526.795121681603,32241.876278989,24600.0054685848,23734.4480076476,71243.1915639014,41321.5498744803,8959.60590572699,109545.76512216,127208.607449696,56278.9146565816,42056.4260640982,55259.9230181274,54784.1914483507,68120.7502989186,59029.6548452395,72440.0001630648,114467.172590224,52625.425191032,82468.8114546421,58493.5307698197,48610.6752245636,56440.0955806969,48952.5603220228,40521.0509202654,30863.5544758756,96446.1133125916,60327.9141276618,87662.7992197956,91162.4722893683,76051.7855609689,65759.4831152588,73967.6358620764,45797.9680962477,78412.2598453811,70436.5980331482,69863.7688474638,75499.5162724232,64194.7500613384,56388.108605059,56302.6729727603,47698.194575496,"[416][M+1]+","","603"
